,sentence,SearchScreeningEvent,SearchCreativeWork,RateBook,AddToPlaylist
164,I'd like to watch May Blossom,1,0,0,0
165,What movies are playing at the closest movie theatre,1,0,0,0
166,I'd like to watch A Storm in the Stars at North American Cinemas,1,0,0,0
167,What time is The Grey Zone playing?,1,0,0,0
168,Will I be able to watch Camping-car at movie house at 6 pm?,1,0,0,0
169,What's the nearest movie theatre playing Testament of Orpheus?,1,0,0,0
170,find animated movie at Landmark Theatres,1,0,0,0
171,Give me the movie times for Fox Theatres,1,0,0,0
172,I'd like to watch animated movies at National Amusements,1,0,0,0
173,I'd like to watch Apocalypse 2024,1,0,0,0
174,I'd like to see Forgetting the Girl.,1,0,0,0
175,When is Blood and Ice Cream-trilogie playing at the nearest movie theatre?,1,0,0,0
176,show movie schedules,1,0,0,0
177,When is Bless the Child playing at the movie theatre,1,0,0,0
178,show movie schedule of films in the area,1,0,0,0
179,Find the movie schedule.,1,0,0,0
180,Where is White Bim Black Ear,1,0,0,0
181,She me movie times,1,0,0,0
182,Find the movie times for Caribbean Cinemas.,1,0,0,0
183,Which movie theatre with Clean and Sober is closest to me?,1,0,0,0
184,What time is The Crystal Gazer playing at the closest cinema?,1,0,0,0
185,Where is Among the Great Apes with Michelle Yeoh playing and when,1,0,0,0
186,find Lost in Space,1,0,0,0
187,Find the movie schedule for the Cineplex Odeon Corporation.,1,0,0,0
188,Show me the movie times ,1,0,0,0
189,What is the nearest movie house playing Black Scorpion,1,0,0,0
190,Find the movie schedules for movies close by,1,0,0,0
191,find Dipson Theatres with Swiss Army Man at 8 p.m.,1,0,0,0
192,What time is Mon Amour: Shesher Kobita Revisited playing,1,0,0,0
193,What time are animated movies playing in the area ,1,0,0,0
194,show animated movie at Century Theatres,1,0,0,0
195,find seven AM movies at Dipson Theatres,1,0,0,0
196,Is Prophecy playing at Malco Theatres,1,0,0,0
197,I need a list of places in the area  that I can see animated movies in six minutes ,1,0,0,0
198,List movie times at Cinemark Theatres,1,0,0,0
199,Show me a movie theatre where Screamplay is playing,1,0,0,0
200,Find movie times for Great Escape Theatres,1,0,0,0
201,I'd like to watch movies now right nearby,1,0,0,0
202,Find the schedule for for The Day of the Jackal at Pacific Theatres.,1,0,0,0
203,What time is Roy Colt & Winchester Jack playing at movie house,1,0,0,0
204,I'd like to watch Abbott and Costello Meet the Keystone Kops at Amco Entertainment at 04:08:11 AM,1,0,0,0
205,Find the movie schedule for B&B Theatres.,1,0,0,0
206,Where is the nearest cinema showing horror films today?,1,0,0,0
207,Show me the schedule for ArcLight Hollywood for animated movies,1,0,0,0
208,show movie times for movies in the area,1,0,0,0
209,What movies are playing one hour from now at Cooper Foundation?,1,0,0,0
210,Find the schedule for Screen Souvenirs at Cinemark Theatres.,1,0,0,0
211,What's the closest movie theatre that's showing Dough Nuts?,1,0,0,0
212,When is Ode to Billy Joe playing at the closest movie house?,1,0,0,0
213,Show me the movie schedules,1,0,0,0
214,Is The Wash playing at the cinema in one minute,1,0,0,0
215,Is Fighting With Buffalo Bill playing at the closest movie house,1,0,0,0
216,find Plitt Theatres movie schedules,1,0,0,0
217,What are the current movie schedules?,1,0,0,0
218,What movie times are around here playing animated movies,1,0,0,0
219,where can i watch animated movies around here,1,0,0,0
220,Find the movie schedule for Century Theatres.,1,0,0,0
221,show movie schedule,1,0,0,0
222,Find a movie schedule.,1,0,0,0
223,Is Covered Wagon Days playing at B&B Theatres in 1 second?,1,0,0,0
224,find Regal Entertainment Group animated movies,1,0,0,0
225,What is the movie schedule for animated movies playing in the neighborhood?,1,0,0,0
226,Show me the current movie times,1,0,0,0
227,Find the movie schedule for Fox Theatres at supper time.,1,0,0,0
228,What time is Hitman City playing,1,0,0,0
229,Can I get the movie schedules in the neighbourhood for the newest films,1,0,0,0
230,Are there any movies playing at 5 am at North American Cinemas?,1,0,0,0
231,Give me a list of films that play in the neighbourhood,1,0,0,0
232,i need movie times for films in the neighbourhood ,1,0,0,0
233,What films are playing at Pacific Theatres,1,0,0,0
234,What time is Living Is Easy with Eyes Closed playing,1,0,0,0
235,What time is Crush and Blush playing at Kerasotes Theatres,1,0,0,0
236,What time is The Rumyantsev Case playing at the closest cinema,1,0,0,0
237,find Berlin to the Samba Beat,1,0,0,0
238,Find the schedule for Project Shadowchaser II at the cinema in eighteen hours.,1,0,0,0
239,I'd like showtimes for The Story of Wish You Were Here.,1,0,0,0
240,"find the nearest place at four o'clock with a movie house showing Wow, The Kid Gang of Bandits",1,0,0,0
241,find a movie theatre with Intersections that is nearest,1,0,0,0
242,Show me the movie schedule for nearby movies.,1,0,0,0
243,What time is The Man Who Dared playing at the movie theatre?,1,0,0,0
244,in the area find some films,1,0,0,0
245,what are the movie times for Dickinson Theatres,1,0,0,0
246,Let me know when I can watch Actrices.,1,0,0,0
247,show the schedule of movie Unborn but Forgotten,1,0,0,0
248,What movies are starting in 1 second at a theater in the neighborhood?,1,0,0,0
249,show me the schedule of movie Michel Strogoff,1,0,0,0
250,find Dipson Theatres animated movies,1,0,0,0
251,What movie house is playing the animated movies nearest?,1,0,0,0
252,Can I see the upcoming movie schedule?,1,0,0,0
253,find a movie house nearest for films,1,0,0,0
254,What films are playing at Dipson Theatres and when ,1,0,0,0
255,Which animated movies are playing in the neighbourhood ?,1,0,0,0
256,when is Good Will Evil playing at Loews Cineplex Entertainment,1,0,0,0
257,What time is G-Men vs The Black Dragon playing at Harkins Theatres,1,0,0,0
258,What are the movie schedules at ArcLight Hollywood,1,0,0,0
259,show me the schedule of movies in Pacific Theatres,1,0,0,0
260,What time is AMC Theaters playing Unnikrishnante Adyathe Christmas,1,0,0,0
261,What cinema is Health Warning playing in eleven hours?,1,0,0,0
262,Is Dummy playing at two a.m.?,1,0,0,0
263,I'd like to see movie schedules for animated movies around here,1,0,0,0
264,Find out what films are being played in the neighbourhood,1,0,0,0
265,"When is Fine, Totally Fine playing?",1,0,0,0
266,What films are playing in the neighbourhood,1,0,0,0
267,what day does the movie Star of the Circus play at ten PM,1,0,0,0
268,what time can i see Older Office Lady: Using Her Seductive Tongue at Star Theatres,1,0,0,0
269,What movies are playing Douglas Theatre Company,1,0,0,0
270,What time is Adam at Six A.M. playing,1,0,0,0
271,Show me the closest 12 A.M. showing at a movie house of an animated movie,1,0,0,0
272,When and where can I watch National Priority?,1,0,0,0
273,Show me the new showings for animated movies in the neighborhood,1,0,0,0
274,Where can I watch The Sword of Ali Baba at two p.m.?,1,0,0,0
275,show movie schedules for animated movies in the neighbourhood,1,0,0,0
276,Is Sheikh Chilli playing,1,0,0,0
277,I'd like to watch Three Word Brand at the cinema,1,0,0,0
278,Show me movie times for movies in the neighborhood,1,0,0,0
279,Find animated movies at Landmark Theatres at dinner time.,1,0,0,0
280,find animated movies nearby,1,0,0,0
281,what's the movie schedule at National Amusements,1,0,0,0
282,What is the movie schedule at MJR Theatres?,1,0,0,0
283,What movie times,1,0,0,0
284,show me the schedule of films in Cobb Theatres,1,0,0,0
285,What time is The Toll of the Sea playing,1,0,0,0
286,ticket for The Perfect Man at Dickinson Theatres at 10 A.M.,1,0,0,0
287,movie schedules for animated movies playing in the neighbourhood,1,0,0,0
288,What is the nearest movie theatre playing Kate y Leopold?,1,0,0,0
289,Find movie times for Century Theatres.,1,0,0,0
290,Where can I see Joy of Learning?,1,0,0,0
291,What films are at IMAX Corporation at 11 p.m.,1,0,0,0
292,Where is Nichiren to Mōko Daishūrai playing,1,0,0,0
293,Find me showtimes for animated movies in the neighbourhood.,1,0,0,0
294,find movie schedule in Pacific Theatres,1,0,0,0
295,Does Pacific Theatres have animated movies starting in 1 minute?,1,0,0,0
296,Where is Shake Your Powder Puff playing,1,0,0,0
297,I'd like to watch The Slender Thread at 6 PM,1,0,0,0
298,Where is the closest cinema that features animated movies,1,0,0,0
299,Is The Young Guard playing at the closest cinema,1,0,0,0
300,What movies are playing at the nearest cinema,1,0,0,0
301,Find out what films are playing at North American Cinemas,1,0,0,0
302,can i have the local movie times,1,0,0,0
303,I'm wondering what movies will be laying around here.,1,0,0,0
304,Please show me the movie schedule for animated movies playing in the neighborhood.,1,0,0,0
305,what movie is at Loews Cineplex Entertainment,1,0,0,0
306,find National Amusements showing The Trouble with Harry,1,0,0,0
307,"find The Good Girl at a movie house
",1,0,0,0
308,Can I get the Butterfly Crush showings,1,0,0,0
309,Tell me the closest movie house playing Black Rage,1,0,0,0
310,show me the schedule of movie The Da Vinci Code,1,0,0,0
311,What are the movie schedules for the Caribbean Cinemas,1,0,0,0
312,Find the movie times now.,1,0,0,0
313,When is The Blood of Others playing?,1,0,0,0
314,Where is The Toxic Avenger II playing,1,0,0,0
315,When is The Woman going to be scheduled at the closest movie house?,1,0,0,0
316,Can I see movie schedules for movies this evening in the neighbourhood?,1,0,0,0
317,List movie schedule.,1,0,0,0
318,Show me movie schedules,1,0,0,0
319,Are any animated movies scheduled for release in Mann Theatres?,1,0,0,0
320,I need to know when Sensation in Morgan’s Creek is playing,1,0,0,0
321,find On Dress Parade,1,0,0,0
322,What are the movie schedules for movies playing in the neighborhood ,1,0,0,0
323,show movie schedule at Cinemark Theatres,1,0,0,0
324,movie schedule  of films around here,1,0,0,0
325,Which animated movies are playing in the neighbourhood and when?,1,0,0,0
326,Can i get the movie schedules for Speakeasy Theaters?,1,0,0,0
327,What time is Sontha Ooru playing,1,0,0,0
328,What time is Doc Savage: The Man of Bronze playing,1,0,0,0
329,Let me know when The Maiden Danced to Death will be screened at a cinema.,1,0,0,0
330,where can i watch Willy Wonka & the Chocolate Factory,1,0,0,0
331,find Death Is Called Engelchen at Neighborhood Cinema Group,1,0,0,0
332,What movie theatre playing animated movies is the closest,1,0,0,0
333,when can i see Dinosaur from the Deep,1,0,0,0
334,find Careless Love,1,0,0,0
335,When is The Bleeding House playing at Amco Entertainment?,1,0,0,0
336,"What are the movie times
",1,0,0,0
337,what movies are showing in the neighbourhood,1,0,0,0
338,Check the movie timings for Cracked Nuts at Southern Theatres.,1,0,0,0
339,What film is playing in the neighbourhood,1,0,0,0
340,Fine the movie schedule for Warren Theatres.,1,0,0,0
341,Fine movie times for Loews Cineplex Entertainment.,1,0,0,0
342,When is The Blood Stain playing at the movie house?,1,0,0,0
343,find a movie schedule in the neighborhood for films,1,0,0,0
344,Can I get the movie schedule for Loews Cineplex Entertainment?,1,0,0,0
345,show me the movie schedule,1,0,0,0
346,Please tell me movie times,1,0,0,0
347,show me the schedule of movie Interview: The Documentary in Loews Cineplex,1,0,0,0
348,find Heat Wave,1,0,0,0
349,I'd like to watch Abbott and Costello Meet Captain Kidd at the nearest cinema,1,0,0,0
350,What films are playing around here,1,0,0,0
351,find Kerasotes Theatres showing animated movies,1,0,0,0
352,What time is Project Censored the Movie playing at the movie house,1,0,0,0
353,Is The Skull playing at Loews Cineplex,1,0,0,0
354,Which movies are being screened around here?,1,0,0,0
355,give me the movie schedule for films in the area ,1,0,0,0
356,I need information on movie schedules,1,0,0,0
357,She me that movie schedule,1,0,0,0
358,What are the selections of films that are being shown at Cinemark Theatres?,1,0,0,0
359,find a cinema showing The Mandrake nearest at one o'clock,1,0,0,0
360,What are the movie times for movies close by,1,0,0,0
361,Tell me the movie schedule for Warren Theatres,1,0,0,0
362,Is Romulus and the Sabines playing at the nearest cinema at ten,1,0,0,0
363,Is The Angelus playing at the movie house at dinner time?,1,0,0,0
364,I would like to see the closest cinema playing films.,1,0,0,0
365,Find movie schedules for IMAX Corporation.,1,0,0,0
366,What is the movie schedules for animated movies in the neighbourhood,1,0,0,0
367,What are the movie times for animated movies in the area?,1,0,0,0
368,What is the movie schedule for movies in the neighbourhood ,1,0,0,0
369,give me the movie schedules for Southern Theatres,1,0,0,0
370,What is the movie schedule of animated movies nearby,1,0,0,0
371,Are there any animated movies playing in the neighborhood?,1,0,0,0
372,What time is Return from Hell playing at the nearest movie house,1,0,0,0
373,whats the closest movie house showing Medal of Honor,1,0,0,0
374,When is Eye of the Spider playing at Regal Entertainment Group?,1,0,0,0
375,when are animated movies playing at Goodrich Quality Theaters,1,0,0,0
376,Find the movie schedule for National Amusements.,1,0,0,0
377,When is You Walk So Softly playing at Kerasotes Theatres,1,0,0,0
378,Find me a showing of The Vanquished that starts nine hours and 1 second from now.,1,0,0,0
379,"When is For One Night playing at Loews Cineplex Entertainment?
",1,0,0,0
380,I'd like to watch Mission to Mir,1,0,0,0
381,show the schedule of movie The Statue,1,0,0,0
382,When is Em4Jay playing at the movie theatre?,1,0,0,0
383,Find the movie schedule.,1,0,0,0
384,What are the movie times for films playing nearby,1,0,0,0
385,What are the current movie schedules for AMC Theatres?,1,0,0,0
386,Is The Country Doctor on the schedule at any theater near me?,1,0,0,0
387,Are there any animated movies playing at the closest cinema?,1,0,0,0
388,Where can I watch The Mark in a cinema,1,0,0,0
389,what movies are on the movie schedules for five hours from now in the neighbourhood,1,0,0,0
390,What's the movie schedule for animated movies in the neighborhood,1,0,0,0
391,what is the movie schedule for animated movies playing close by,1,0,0,0
392,What time are films showing at KB Theatres,1,0,0,0
393,show the movie schedules and films in the area,1,0,0,0
394,show me the movie schedules,1,0,0,0
395,I'd like to see movie times for animated movies playing in the neighborhood that are starting now.,1,0,0,0
396,I'd like to watch I Wish at the nearest movie theatre,1,0,0,0
397,What movie house is showing Flower and Snake at 08:56:29?,1,0,0,0
398,show movie schedules,1,0,0,0
399,what movie theatre is showing Manorama Six Feet Under,1,0,0,0
400,When is Scaramouche playing?,1,0,0,0
401,show me the schedule of Outlaw of Gor at nearest movie house at 5 A.M.,1,0,0,0
402,What time is Tommy and Quadrophenia Live playing at Marcus Corporation,1,0,0,0
403,Find the schedule for The Tale of Sweeney Todd at seven o'clock.,1,0,0,0
404,find start time in 12 seconds for National Bomb,1,0,0,0
405,When will Third Person Singular Number be playing?,1,0,0,0
406,Where is Project A Part II playing?,1,0,0,0
407,Which films are playing at the IMAX Corporation?,1,0,0,0
408,find Half a Truth,1,0,0,0
409,showtimes for the closest movie theatre that is showing Operation Autumn,1,0,0,0
410,What theater is playing Haunted Honeymoon ,1,0,0,0
411,List movie times at Harkins Theatres,1,0,0,0
412,What animated movies are showing in the neighborhood ,1,0,0,0
413,Find time for All About Hash,1,0,0,0
414,What movie schedules are at National Amusements,1,0,0,0
415,Can you tell me the movies playing at United Paramount Theatres,1,0,0,0
416,Find time for Ace of the Saddle,1,0,0,0
417,Is The Day of the Beast playing at three p.m.?,1,0,0,0
418,What films are scheduled around here?,1,0,0,0
419,Is A Tree Grows in Brooklyn playing in one hour,1,0,0,0
420,show the movie schedule,1,0,0,0
421,find films with movie schedules that are nearby,1,0,0,0
422,Which animated movies are playing at the nearest movie house?,1,0,0,0
423,find Hear Me Good,1,0,0,0
424,what is playing for movies at B&B Theatres,1,0,0,0
425,what movies are at Loews Cineplex,1,0,0,0
426,At AMC Theaters what is the movie schedule?,1,0,0,0
427,can i get the movie schedule for Goodrich Quality Theaters,1,0,0,0
428,Tell me what movies are at AMC Theatres.,1,0,0,0
429,What time is High Schools playing,1,0,0,0
430,Find me The Age for Love playing at the closest movie house.,1,0,0,0
431,Find the movie schedule for B&B Theatres.,1,0,0,0
432,Where is the closest cinema playing Soapsuds and Sapheads,1,0,0,0
433,Can I get the showtimes for the closest movie theatre that has the newest films.,1,0,0,0
434,Let me have the movie schedules for General Cinema Corporation,1,0,0,0
435,Go to movie times at IMAX Corporation,1,0,0,0
436,Find the schedule for The Tooth Will Out at sunrise.,1,0,0,0
437,What is the movie schedule like,1,0,0,0
438,I want to see movie times at Neighborhood Cinema Group.,1,0,0,0
439,I need to see some movie schedules,1,0,0,0
440,What is the movie schedule for Train,1,0,0,0
441,What time is Mighty Morphin Power Rangers: The Movie at Magic Johnson Theatres?,1,0,0,0
442,When can I catch a screening of Shivers in Summer?,1,0,0,0
443,What time is Ghostbusters - Acchiappafantasmi playing at IMAX Corporation,1,0,0,0
444,What theater is playing Death Drums Along the River at 5 PM,1,0,0,0
445,Show me the movie schedule for Star Theatres,1,0,0,0
446,Find the closest cinema playing Little Red Monkey.,1,0,0,0
447,Find the schedule for The Kentuckians.,1,0,0,0
448,I need movie times at Fox Theatres around zero PM,1,0,0,0
449,There can I find The Beggar Maid playing,1,0,0,0
450,find nearby films with movie schedules,1,0,0,0
451,Where is the nearest cinema that is playing films,1,0,0,0
452,Showtimes for animated movies in Malco Theatres?,1,0,0,0
453,show me the schedule of The Loves of Letty in cinema closest,1,0,0,0
454,Which movies are playing in the neighborhood?,1,0,0,0
455,What movie theatre is playing The Deaths of Ian Stone,1,0,0,0
456,What are the movie times for films nearby?,1,0,0,0
457,What are the movie times for the Marcus Corporation,1,0,0,0
458,What is the local movie schedule,1,0,0,0
459,Find movie schedules at IMAX Corporation,1,0,0,0
460,What time is High Spirits playing?,1,0,0,0
461,What is the nearest movie theatre playing The Collaborators,1,0,0,0
462,find a movie schedule for United Paramount Theatres,1,0,0,0
463,Show me the movie schedule for Neighborhood Cinema Group,1,0,0,0
464,Find time for movies at the closest cinema,1,0,0,0
465,SHow me the nearest movie house showing Moron 5 and the Crying Lady,1,0,0,0
466,Which animated movies are playing at the nearest movie house?,1,0,0,0
467,What is the nearest movie house playing New York Melody,1,0,0,0
468,Find movie schedules.,1,0,0,0
469,When is Crime and Punishment U.S.A. showing?,1,0,0,0
470,Shoe the movie showings for the closest cinema showing international movies,1,0,0,0
471,find Set the Thames on Fire for seventeen,1,0,0,0
472,Show the movie schedule for Cooper Foundation at 9 o'clock,1,0,0,0
473,What time are the animated movies starting at the nearest movie house?,1,0,0,0
474,What movies are playing at Marcus Corporation?,1,0,0,0
475,find Naomi & Wynonna: Love Can Build a Bridge,1,0,0,0
476,Is The Johnstown Flood playing,1,0,0,0
477,find movie schedules for me,1,0,0,0
478,Give me the movie times at Warren Theatres.,1,0,0,0
479,Find the movie schedule for Great Escape Theatres.,1,0,0,0
480,Find the movie schedule for Amco Entertainment 1 minute from now.,1,0,0,0
481,can I get the movie times,1,0,0,0
482,I want to see the movie schedule for North American Cinemas,1,0,0,0
483,Is The Big Job playing at the nearest cinema?,1,0,0,0
484,Find a movie schedule.,1,0,0,0
485,I'd like to watch movies at the closest movie theatre,1,0,0,0
486,What is the nearest cinema playing The Oak,1,0,0,0
487,What movies are scheduled at the nearest movie theatre?,1,0,0,0
488,What movies are playing at Cineplex Odeon Corporation?,1,0,0,0
489,Show the latest animated movies movie times for the nearest movie house,1,0,0,0
490,Find the movie schedule for animated movies close by.,1,0,0,0
491,what time is Bhoot Returns showing at Douglas Theatre Company,1,0,0,0
492,Is A Short Film About Killing at North American Cinemas,1,0,0,0
493,What are the movie times for films playing in the area?,1,0,0,0
494,Find time for Hendthighelbedi at the nearest cinema,1,0,0,0
495,Find the schedule for for Corn at eleven A.M. at Loews Cineplex Entertainment.,1,0,0,0
